occupation	hisco	status	relation	product
"bird catcher"	62990			
"woodcutter"	63190			
"wood chopper"	63190			
"wood cutter"	63190			
"willow cutter"	63190			
"fisherman"	64100			
"miner"	71105			
"cornish miner"	71105			
"pewterer"	72000			
"zincworker"	72000			
"zinc worker"	72000			
"working at whitelead works"	72000			
"brass smelter"	72100			
"furnace man"	72100			
"mill furnace man"	72170			
"melter in the mint"	72170			
"gold refiner's assistant"	72170			
"shingler, ironworks"	72190			
"tin roller"	72250			
"tinfoil roller"	72250			
"typefounder"	72420			
"brazier"	72420			
"type founder"	72420			
"type caster"	72420			
"iron moulder"	72500			
"brass moulder"	72500			
"moulder"	72500			
"metal moulder's apprentice"	72500			
"ironmoulder"	72500			
"brass founder"	72500			
"foundryman"	72500			
"brassfounder"	72500			
"mould turner"	72500			
"wire drawer"	72725			
"galvanizer"	72830			
"iron plate worker"	72890			
"electro gilder"	72890			
"iron trimmer"	72990			
"metal turner"	72990			
"chipper, iron works"	72990			
"brass worker"	72990			
"chair sawyer"	73200			
"sawyer"	73210			
"mill sawyer"	73210			
"wood sawyer"	73210			
"cork burner"	73290			
"corkcutter"	73290			
"cork cutter"	73290			
"scale board cutter"	73290			
"paper maker"	73400			
"paper miller"	73400			
"parchment maker"	73460			
"paper roller"	73490			
"paste board maker"	73490			
"waterproofer's assistant"	73490			
"paper cutter"	73490			
"pasteboard maker"	73490			
"paper stainer"	73490			
"waterproofer"	73490			
"paperstainer"	73490			
"varnish maker"	74100			
"iron founder"	74220			
"ironfounder"	74220			
"fireman"	74240			
"perfumer"	74490			
"charcoal burner"	74930			
"animal charcoal burner (deceased)"	74930			
"animal charcoal maker"	74930			
"animal charcoal burner"	74930			
"charcoal grinder"	74990			
"wool sorter"	75115			
"woolsorter"	75115			
"silk spinner"	75220			
"winder"	75250			
"silk winder"	75250			
"pattern maker"	75350			
"jacquard cardcutter"	75350			
"jacquard card cutter"	75350			
"weaver"	75400			
"rug weaver"	75410			
"silk weaver"	75432			
"hearthrug maker"	75457			
"hearth rug weaver"	75457			
"hearth rug maker"	75457			
"floorcloth maker"	75457			
"hearthrug dresser"	75490			
"ribbon weaver"	75490			
"linkman"	75530			
"garment dyer"	75622			
"silk dyer"	75622			
"rag dyer"	75622			
"dyer and scourer (deceased)"	75622			
"dyer"	75622			
"silkdresser"	75635			
"oilcloth maker"	75660			
"calenderer"	75670			
"silk printer"	75690			
"dyer's finisher"	75690			
"mat dresser"	75690			
"clothworker"	75690			
"horsehair curler"	75690			
"dye sinker and engraver"	75690			
"horsehair dresser"	75690			
"rope spinner"	75710			
"rope maker"	75710			
"twine spinner"	75710			
"ropemaker"	75710			
"mat maker"	75990			
"matmaker"	75990			
"matting weaver"	75990			
"elastic web weaver"	75990			
"fellmonger"	76125			
"tanner"	76145			
"leather dresser"	76150			
"currier"	76150			
"skindresser"	76190			
"leather shaver"	76190			
"skin dresser"	76190			
"flour miller"	77120			
"grainer"	77190			
"sugar baker"	77200			
"sugar refiner"	77200			
"sugar boiler"	77250			
"butcher (master)"	77310			
"portk butcher"	77310			
"master butcher"	77310			
"butcher"	77310			
"slaughterman"	77320			
"eating house cutter"	77340			
"tripe dresser"	77390			
"pork butcher"	77390			
"fish curer"	77450			
"fishcurer"	77450			
"bacon dryer"	77450			
"retired baker"	77610			
"journeyman baker"	77610			
"master baker"	77610			
"baker"	77610			
"confectioner"	77660			
"confectioner's assistant"	77660			
"biscuit baker"	77690			
"coffee roaster"	77750			
"brewer"	77810			
"soda water maker"	77810			
"brewer's servant"	77810			
"brewers assistant (d)"	77810			
"distiller"	77810			
"ginger beer manufacturer"	77890			
"mineral water maker"	77890			
"ginger beer maker"	77890			
"brewer's man"	77890			
"oilman's assistant"	77920			
"oilman"	77920			
"oil refiner"	77925			
"tobacco cutter"	78155			
"tobacco stripper"	78155			
"tobaco stripper"	78155			
"tobacco operative"	78190			
"cigarmaker"	78200			
"cigar maker"	78200			
"cigar manufacturer"	78200			
"snuffmaker"	78920			
"tailor"	79100			
"formerly tailor"	79100			
"tailor (master)"	79100			
"tailoress"	79100			
"tailor (r)"	79100			
"dressmaker"	79140			
"hassock maker"	79190			
"staymaker"	79190			
"waistcoat maker"	79190			
"shirt maker"	79190			
"necktie cutter"	79190			
"stay busk maker"	79190			
"shirt collar maker"	79190			
"cutter"	79190			
"cutter in the slop trade"	79190			
"habit maker"	79190			
"military tailor"	79190			
"robe maker"	79190			
"shirtmaker"	79190			
"stay maker"	79190			
"mantle maker"	79190			
"fur worker"	79200			
"fur and skin worker"	79200			
"furrier"	79220			
"fur puller"	79290			
"fur skin dresser"	79290			
"hatter"	79310			
"hatter and tailor"	79310			
"hat maker"	79310			
"hatter (deceased)"	79310			
"hatmaker"	79310			
"hat manufacturer"	79310			
"milliner"	79320			
"bonnet maker"	79320			
"bonnet blocker"	79330			
"cap maker"	79390			
"miller's man"	79390			
"capmaker"	79390			
"straw hat presser"	79390			
"bonnet presser"	79390			
"straw bonnet maker"	79390			
"boy's cap maker"	79390			
"leather finisher"	79440			
"hat leather cutter"	79460			
"seamstress"	79510			
"sempstress"	79510			
"needleworker"	79520			
"needle worker"	79520			
"needlewoman"	79520			
"machinist"	79550			
"sewing machinist"	79550			
"sewing machine worker"	79550			
"upholsterers assistant"	79620			
"horsehair seat maker"	79620			
"upholsterer"	79620			
"coach trimmer"	79620			
"chair stuffer"	79620			
"coach trimmer (deceased)"	79620			
"couchmaker"	79620			
"upholsterer's assistant"	79620			
"matrass maker"	79640			
"mattress maker"	79640			
"mattrass maker"	79640			
"sailmaker"	79920			
"sail maker"	79920			
"sail-cloth maker"	79920			
"tent maker"	79920			
"umbrella maker"	79930			
"umbrella frame maker"	79930			
"parasol cutter"	79990			
"trimming maker"	79990			
"fancy trimming weaver"	79990			
"flag maker"	79990			
"slipper maker"	79990			
"clothier's cutter"	79990			
"feather maker"	79990			
"tassel maker"	79990			
"trimming weaver"	79990			
"ostrich feather maker"	79990			
"tarpaulin maker"	79990			
"collar dresser"	79990			
"trimming manufacturer"	79990			
"artificial flower maker"	79990			
"artificial florist"	79990			
"shoe maker"	80110			
"formerly a bootmaker"	80110			
"shoemaker (deceased)"	80110			
"bottmaker"	80110			
"boot manufacturer"	80110			
"shoemaker's assistant"	80110			
"boot maker"	80110			
"formerly shoemaker"	80110			
"shoemaker (master)"	80110			
"journeyman bootmaker"	80110			
"cordwainer"	80110			
"boot and shoemaker"	80110			
"working shoemaker"	80110			
"shoemaker (r)"	80110			
"journeyman shoemaker"	80110			
"master bootmaker"	80110			
"bootmaker"	80110			
"shoemaker"	80110			
"master shoemaker"	80110			
"shoe manufacturer"	80110			
"boot and shoe maker"	80110			
"formerly cordwainer"	80110			
"clicker"	80222			
"shoebinder"	80250			
"bootbinder"	80250			
"boot binder"	80250			
"boot machinist"	80250			
"boot closer"	80255			
"bootcloser"	80255			
"boot finisher"	80255			
"boot rivetter"	80290			
"bootblocker"	80290			
"boot riveter"	80290			
"leather case maker"	80310			
"harness maker"	80320			
"saddler and harness maker"	80320			
"bracemaker"	80320			
"saddler"	80320			
"brace maker"	80320			
"horse collar maker"	80320			
"leather cutter"	80350			
"whipthong maker"	80390			
"chair maker"	81120			
"looking glass frame maker"	81120			
"deal cabinet maker"	81120			
"furniture maker"	81120			
"cabinet maker"	81120			
"musicstool maker"	81120			
"chairmaker"	81120			
"sofa maker"	81120			
"backgammon table maker"	81190			
"bedstead maker"	81190			
"gun case maker"	81190			
"bed maker"	81190			
"plate case maker"	81190			
"medicine chest maker (deceased)"	81190			
"bellows maker"	81190			
"dressing case maker"	81190			
"jewel case maker"	81190			
"casemaker"	81190			
"ivory sawyer"	81220			
"ivory turner (master)"	81230			
"wood turner"	81230			
"chair turner"	81230			
"ivory turner"	81230			
"turner"	81230			
"coach smith"	81920			
"journeyman coachsmith"	81920			
"coachbuilder"	81920			
"coach builder"	81920			
"carriage maker"	81920			
"coachmaker"	81920			
"coachbody maker"	81920			
"coach binder"	81920			
"coach maker"	81920			
"coach lace weaver"	81920			
"retired coach builder"	81920			
"railway coachmaker"	81920			
"coach plater"	81920			
"coachsmith"	81920			
"coach joiner"	81920			
"carriage smith"	81920			
"wheelwright"	81925			
"wheelwright (deceased)"	81925			
"oil cooper"	81930			
"wine cooper"	81930			
"vatmaker"	81930			
"dock cooper"	81930			
"cooper"	81930			
"back and vat maker"	81930			
"vat maker"	81930			
"wood pattern maker"	81935			
"modeller"	81940			
"handrail maker"	81945			
"carver and gilder"	81945			
"couch carver"	81945			
"chair carver"	81945			
"carver"	81945			
"carver and gilder (deceased)"	81945			
"wood letter cutter"	81945			
"wood carver"	81945			
"carver & gilder"	81945			
"cabinet carver"	81945			
"french polisher (deceased)"	81955			
"furniture japanner"	81955			
"pianoforte polisher"	81955			
"french polisher"	81955			
"tobaccopipe maker"	81960			
"tobacco pipe maker"	81960			
"clog maker"	81990			
"walking stick maker"	81990			
"saddle tree maker"	81990			
"trunk maker"	81990			
"walking stick dresser"	81990			
"frame maker"	81990			
"fretcutter's assistant"	81990			
"picture frame maker"	81990			
"packing case maker"	81990			
"funeral furnisher"	81990			
"walkingstick dresser"	81990			
"framemaker"	81990			
"boxmaker"	81990			
"box maker"	81990			
"packingcase maker"	81990			
"packing box maker"	81990			
"stone sawyer"	82020			
"marble polisher"	82020			
"oil stone cutter"	82020			
"stonecutter"	82020			
"stone carver"	82070			
"marble decorator"	82070			
"school slate maker"	82090			
"smith in h.m. dockyard"	83110			
"file cutter"	83110			
"farrier"	83110			
"smith"	83110			
"general smith"	83110			
"lastmaker"	83110			
"journeyman farrier"	83110			
"blacksmith"	83110			
"farrier major"	83110			
"smith's hammerman"	83120			
"hammer man"	83120			
"iron hammerer"	83120			
"hammerman"	83120			
"printer's smith"	83190			
"tool cutter"	83210			
"engineer's tool maker"	83220			
"engineer's pattern maker"	83290			
"brass turner"	83320			
"engine turner"	83320			
"engineer's driller"	83360			
"driller of iron"	83360			
"machine man in railway factory"	83410			
"hydraulic machine worker"	83410			
"lather"	83420			
"iron turner"	83420			
"saw sharpener"	83530			
"knife grinder"	83540			
"sons of polisher"	83590			
"silver polisher"	83590			
"brass finisher"	83590			
"polisher"	83590			
"steel polisher"	83590			
"awl blade maker"	83915			
"cutler (master)"	83915			
"cutler"	83915			
"sawmaker"	83915			
"gun maker"	83920			
"gunsmith"	83920			
"gunlock maker"	83920			
"gunmaker"	83920			
"gun implement maker"	83920			
"pistol maker"	83920			
"locksmith"	83930			
"stamper of embroidery"	83960			
"capsule stamper"	83960			
"stamper in gpo"	83960			
"wire worker"	83990			
"birdcage maker"	83990			
"bird cage maker"	83990			
"wadding maker"	83990			
"fusee chain maker"	83990			
"bridle bit maker"	83990			
"nail maker"	83990			
"wire weaver"	83990			
"gas engineer"	84100			
"practical engineer"	84100			
"engine fitter"	84100			
"knife cleaning machine maker"	84100			
"engineer"	84100			
"engine maker"	84100			
"beer engine maker"	84100			
"working engineer"	84100			
"engineer's fitter"	84100			
"engine smith"	84100			
"fireproof safe maker"	84105			
"fire proof safe maker"	84105			
"boiler fitter"	84110			
"fitter and turner"	84110			
"stove maker"	84110			
"iron fitter"	84110			
"fitter royal arsenal"	84110			
"oven builder"	84110			
"millwright"	84175			
"meter maker"	84190			
"gas meter maker"	84190			
"ventilator fitter"	84190			
"pump maker"	84190			
"gasmeter maker"	84190			
"weighing machine maker"	84190			
"watchmaker"	84220			
"clockmaker"	84220			
"watch case maker"	84220			
"clock and watch maker"	84220			
"clock finisher"	84220			
"clock maker"	84220			
"watch maker"	84220			
"watch finisher"	84220			
"brass rule maker"	84230			
"scale maker"	84230			
"mathematical instrument maker"	84230			
"scalemaker"	84230			
"mathematical rule maker"	84230			
"surgical instrument maker"	84240			
"compass maker"	84240			
"mechanic"	84900			
"plumber"	87105			
"retired plumber and glazier"	87105			
"plumber and glazier"	87105			
"plumber and painter"	87105			
"plumber painter and glazier"	87105			
"gas fitter"	87120			
"gas fitter (master)"	87120			
"gasfitter"	87120			
"coppersmith"	87330			
"tinplate worker"	87340			
"tin foil beater"	87340			
"formerly tinman"	87340			
"tinman"	87340			
"tin plate worker"	87340			
"boiler maker"	87350			
"boilermaker"	87350			
"boiler smith"	87350			
"boiler at sugarhouse"	87350			
"shipsmith"	87450			
"ship smith"	87450			
"ship's smith"	87450			
"riveter, ironworks"	87462			
"riveter"	87462			
"rivetter"	87462			
"iron riveter"	87462			
"gold and silver laceman"	88010			
"jeweller"	88010			
"gold chain maker"	88010			
"gold lace-maker"	88010			
"working jeweller"	88010			
"silversmith's assistant"	88050			
"goldsmith"	88050			
"working silversmith"	88050			
"silversmith"	88050			
"silver smith"	88050			
"whitesmith"	88050			
"gold wire flattener"	88070			
"gold beater"	88070			
"gold wire drawer"	88070			
"goldbeater"	88070			
"watch motion maker"	88080			
"gold engraver"	88080			
"gold and silver embosser"	88080			
"watch escapement maker"	88080			
"watchcase springer"	88080			
"watch springer"	88080			
"watch springer and polisher"	88080			
"watch spring maker"	88080			
"watch jeweller"	88080			
"watch pallatt maker"	88080			
"watch engraver"	88080			
"watch case springer"	88080			
"engraver"	88080			
"late of h.m's mint, calcutta"	88090			
"gold piercer"	88090			
"gold and silver flatter"	88090			
"coiner (mint)"	88090			
"glass blower"	89120			
"glassblower"	89120			
"glass bead blower"	89120			
"watch glass maker"	89132			
"glasscutter"	89156			
"glass drop cutter"	89156			
"glass cutter"	89156			
"optical glass worker"	89160			
"glass sorter"	89190			
"potter"	89210			
"brickmaker"	89242			
"brick moulder"	89242			
"pipe maker"	89290			
"pipemaker"	89290			
"glass maker"	89320			
"glass shade maker"	89320			
"furnaceman"	89320			
"writer on glass"	89400			
"glass engraver"	89420			
"painter on glass"	89520			
"glass painter"	89520			
"gilder"	89530			
"looking glass silverer"	89570			
"looking glass maker"	89570			
"glass stainer"	89590			
"enameller"	89590			
"miller"	89930			
"slip maker"	89940			
"fancy box maker"	91020			
"hat box maker"	91025			
"cigar box maker"	91050			
"paper bag maker"	91075			
"card presser"	91090			
"cardmaker"	91090			
"card maker"	91090			
"paper embosser"	91090			
"paper carver"	91090			
"pressman"	92000			
"machine printer"	92110			
"printer (machinist)"	92110			
"printer's boy"	92110			
"printer's machinist"	92110			
"compositor (d)"	92120			
"compositor (superannuated)"	92120			
"compositor"	92120			
"corrector of the press"	92190			
"copper plate printer"	92225			
"copperplate printer"	92225			
"printer's roller maker"	92230			
"lithographic printer"	92250			
"lithographer"	92250			
"stereotyper"	92320			
"wood engraver"	92430			
"chaser"	92440			
"letterpress embosser"	92490			
"vellum binder"	92625			
"bookbinder (master)"	92625			
"bookbinder"	92625			
"journeyman bookbinder"	92625			
"book marbler"	92690			
"book mounter"	92690			
"floorcloth printer"	92950			
"master printer"	92950			
"printer"	92950			
"calico glazer"	92950			
"housepainter"	93120			
"house painter and decorator"	93120			
"painter"	93120			
"journeyman painter on glass"	93120			
"painter and grainer"	93120			
"house decorator"	93120			
"house painter (deceased)"	93120			
"painter and decorator"	93120			
"formerly a painter"	93120			
"house painter"	93120			
"coach painter"	93190			
"gold edge gilder"	93920			
"carriage painter"	93920			
"japanner"	93920			
"watch dial enameller"	93920			
"signboard writer"	93950			
"sign writer"	93950			
"sign board writer"	93950			
"musical instrument maker"	94100			
"clarionet maker"	94130			
"organ builder"	94160			
"harmonium maker"	94160			
"organ pipe maker"	94160			
"pianoforte maker"	94170			
"pianoforte wire drawer (deceased)"	94170			
"pianoforte maker (d)"	94170			
"pianoforte string maker"	94170			
"pianoforte tuner"	94180			
"reed maker"	94190			
"fish basket maker"	94220			
"basket maker"	94220			
"basket-maker"	94220			
"basket maker (master)"	94220			
"brush maker"	94230			
"brush drawer"	94230			
"artist brush maker"	94230			
"brushmaker"	94230			
"chair caner"	94250			
"cane preparer"	94290			
"cane dresser"	94290			
"cane worker"	94290			
"cane preparer (deceased)"	94290			
"bird stuffer"	94920			
"taxidermist"	94920			
"doll maker"	94940			
"candle maker"	94960			
"candlemaker"	94960			
"tank maker"	94990			
"bow and arrow maker"	94990			
"ivory carver"	94990			
"blindmaker"	94990			
"pencil maker"	94990			
"carriage lamp maker"	94990			
"wig maker"	94990			
"military ornament maker"	94990			
"military pouch maker"	94990			
"starch maker"	94990			
"mother of pearl worker"	94990			
"ink stand maker"	94990			
"china mender"	94990			
"combmaker"	94990			
"oar maker"	94990			
"corn plaster maker"	94990			
"button maker"	94990			
"toy turner"	94990			
"tortoiseshell maker"	94990			
"soapmaker"	94990			
"comb maker"	94990			
"elastic band maker"	94990			
"zinc sieve maker"	94990			
"whalebone preparer"	94990			
"figure maker"	94990			
"pearl worker"	94990			
"soap boiler"	94990			
"boot lace maker"	94990			
"drawing pin maker"	94990			
"emery paper maker"	94990			
"splint cutter"	94990			
"globe maker"	94990			
"lampmaker"	94990			
"match maker"	94990			
"soapboiler"	94990			
"toy maker"	94990			
"pen dresser"	94990			
"soap maker"	94990			
"firework maker"	94990			
"lamp maker"	94990			
"sun blind maker"	94990			
"hose maker"	94990			
"fancy soap maker"	94990			
"tallow melter"	94990			
"water proofer"	94990			
"perambulator maker"	94990			
"blind maker"	94990			
"butcher's skewer maker"	94990			
"formerly a bricklayer"	95120			
"bricklayer"	95120			
"stone mason"	95140			
"slate mason"	95140			
"mason"	95140			
"stonemason"	95140			
"marblemason"	95145			
"marble mason"	95145			
"pavior"	95160			
"paviour"	95160			
"slater"	95320			
"master carpenter"	95410			
"working carpenter"	95410			
"carpenter (d)"	95410			
"carpenter (deceased)"	95410			
"carpenter and joiner"	95410			
"carpenter"	95410			
"joiner"	95420			
"shipwright h.m. dockyard"	95440			
"shipwright"	95440			
"ship caulker"	95440			
"ship joiner"	95445			
"boat makers assistant"	95450			
"barge builder"	95450			
"boat builder"	95450			
"ship's carpenter"	95455			
"ship carpenter"	95455			
"mast maker"	95455			
"block cutter"	95490			
"blockmaker"	95490			
"caulker"	95490			
"bonnet block maker"	95490			
"working plasterer"	95510			
"plasterer"	95510			
"plasterer's boy"	95510			
"modeller in plaster"	95590			
"lath render"	95590			
"glazier"	95720			
"retired builder"	95910			
"formerly builder"	95910			
"builder"	95910			
"paperhanger"	95925			
"paper hanger"	95925			
"carpet planner"	95930			
"scaffold builder"	95940			
"puller down of old houses"	95945			
"pipelayer"	95950			
"slate worker"	95990			
"bellhanger"	95990			
"stoker at gas works"	96190			
"engine stoker"	96190			
"engineer's stoker"	96190			
"gasworks stoker"	96190			
"gas factory stoker"	96190			
"stoker in gas factory"	96190			
"stoker in gasworks"	96190			
"gashouse stoker"	96190			
"stoker at gasworks"	96190			
"gas stoker"	96190			
"engine driver at a pianoforte factory"	96910			
"saw mill engine driver"	96910			
"engine driver at distillery"	96910			
"factory engine driver"	96910			
"engine driver"	96910			
"engine driver and stoker in a warehouse"	96910			
"engine driver at brewery"	96910			
"fireman at iron foundry"	96930			
"dock labourer"	97120			
"dockyard labourer"	97120			
"stevedore"	97120			
"light porter"	97125			
"timber porter"	97125			
"beer porter"	97125			
"porter at potato warehouse"	97125			
"warehouse porter"	97125			
"porter at hotel"	97125			
"porter at glass shop"	97125			
"jeweller's porter"	97125			
"printer's porter"	97125			
"general porter"	97125			
"auctioneer's porter"	97125			
"lightporter"	97125			
"tailor's porter"	97125			
"fellowship porter"	97125			
"timber dealers porter"	97125			
"hotel porter"	97125			
"house porter"	97125			
"druggist's porter"	97125			
"porter at hospital"	97125			
"dyer's porter"	97125			
"ironmonger's porter"	97125			
"coalporter"	97125			
"porter of granary"	97125			
"upholsterer's porter"	97125			
"broker's porter"	97125			
"grocer's porter"	97125			
"bazaar porter"	97125			
"porter"	97125			
"iron merchant's porter"	97125			
"porter at a granary"	97125			
"inn porter"	97125			
"twine merchant's porter"	97125			
"japanner's porter"	97125			
"gate porter"	97125			
"porter at patent medicine warehouse"	97125			
"porter at bank of england"	97125			
"coal porter"	97125			
"hall porter"	97125			
"deal porter"	97125			
"railway porter"	97130			
"railway foreman"	97130			
"foreman (railway company)"	97130			
"wine merchant's porter"	97145			
"toy warehouseman"	97145			
"apprentice to a warehouseman"	97145			
"printer's warehouseman"	97145			
"twine warehouseman"	97145			
"clothier's warehouseman"	97145			
"assistant at carpet warehouse"	97145			
"clothiers warehouseman"	97145			
"wine porter"	97145			
"draper's warehouseman"	97145			
"tea warehouseman"	97145			
"provision dealer's warehouseman"	97145			
"fruit warehouseman"	97145			
"fancy warehouseman"	97145			
"fishmarket porter"	97145			
"fish porter"	97145			
"corn porter"	97145			
"market porter"	97145			
"manchester warehouseman"	97145			
"silk warehouseman"	97145			
"hop warehouseman"	97145			
"warehouseman"	97145			
"shed man in docks"	97145			
"woollen warehouseman"	97145			
"tanner's warehouseman"	97145			
"potato warehouseman's assistant"	97145			
"coffee warehouseman"	97145			
"leather dresser's warehouseman"	97145			
"cheesemonger's warehouseman"	97145			
"warehouseman's assistant"	97145			
"spice warehouseman"	97145			
"wine packer"	97150			
"soda water bottler"	97152			
"furniture packer"	97152			
"packer and clothworker"	97152			
"blacklead packer"	97152			
"packer"	97152			
"woolpacker"	97152			
"merchant's packer"	97152			
"picture packer"	97152			
"rigger"	97205			
"ship rigger"	97230			
"ballast getter"	97335			
"ballast heaver"	97335			
"railway excavator"	97400			
"excavator"	97400			
"railway miner"	97400			
"railway labourer"	97415			
"navvy"	97415			
"pile driver"	97440			
"sailor boy"	98100			
"boatswain"	98120			
"formerly a mariner"	98135			
"mariner"	98135			
"seaman r.n."	98135			
"seaman"	98135			
"sailor"	98135			
"shipboy"	98190			
"waterman's apprentice"	98190			
"waterman and lighterman"	98190			
"waterman"	98190			
"lighterman"	98190			
"waterman at cab stand"	98190			
"bargeman"	98190			
"lighterman's apprentice"	98190			
"waterman h.m. customs"	98190			
"ship's apprentice"	98190			
"steamboat engine driver"	98190			
"lighterman's assistant"	98190			
"waterman at a cab rank"	98190			
"tug's lad"	98190			
"boatman"	98190			
"fireman in steam vessel"	98220			
"stoker in sugar house"	98220			
"ship's stoker"	98220			
"stoker"	98220			
"steamship stoker"	98220			
"steamboat stoker"	98220			
"railway engine driver"	98320			
"railway stoker"	98330			
"railway fireman"	98330			
"railway engine charger"	98330			
"railway guard"	98420			
"railway gatekeeper"	98430			
"pointsman on north western railway"	98430			
"signalman"	98430			
"railway gate keeper"	98430			
"railway signalman"	98430			
"shunter"	98440			
"railway shunter"	98440			
"omnibus driver (deceased)"	98540			
"omnibus driver"	98540			
"cabdriver"	98620			
"fly driver"	98620			
"gentleman's coachman"	98620			
"mail coachman"	98620			
"wood carrier"	98620			
"cabriolet coachman"	98620			
"cabman"	98620			
"carman"	98620			
"undertaker's coachman"	98620			
"coachdriver"	98620			
"carrier's assistant"	98620			
"coachman"	98620			
"timber carman"	98620			
"flyman"	98620			
"omnibus coachman"	98620			
"funeral coachman"	98620			
"driver"	98620			
"carman's assistant"	98620			
"drayman"	98620			
"carter"	98620			
"coachman to job master"	98620			
"van driver"	98620			
"carriage driver"	98620			
"stone carman"	98620			
"coachman (domestic servant)"	98620			
"gentlemans coachman"	98620			
"cab driver"	98620			
"brewer's drayman"	98620			
"horse driver"	98620			
"coal carman"	98620			
"builder's carman"	98620			
"coachman (deceased)"	98620			
"market gardener's carman"	98620			
"bricklayer's carman"	98620			
"cabriolet driver"	98620			
"assistant carman"	98620			
"cab driver (deceased)"	98620			
"carrier"	98620			
"postilion"	98690			
"postillion"	98690			
"dock lockman"	98930			
"gatekeeper"	98990			
"cart minder"	98990			
"labourer (royal dockyard)"	99910			
"labourer at waterworks"	99910			
"corn labourer"	99910			
"dust carter"	99910			
"builder's labourer"	99910			
"washer"	99910			
"paviour's labourer"	99910			
"tar distiller's labourer"	99910			
"labourer (candle works)"	99910			
"sewer labourer"	99910			
"dust contractor's labourer"	99910			
"assistant turncock"	99910			
"coal labourer"	99910			
"turncock"	99910			
"street sweeper"	99910			
"labourer at soap factory"	99910			
"platelayer"	99910			
"mason's labourer"	99910			
"brewer's labourer"	99910			
"jobbing labourer"	99910			
"firewood cutter"	99910			
"gas workman"	99910			
"stable labourer"	99910			
"engineer's labourer"	99910			
"ground labourer"	99910			
"labourer at candle factory"	99910			
"railway plate layer"	99910			
"bone boiler"	99910			
"garden labourer"	99910			
"fire wood cutter"	99910			
"labourer"	99910			
"coal whipper"	99910			
"shipworker"	99910			
"gravedigger"	99910			
"gas labourer"	99910			
"labourer at engineer's"	99910			
"firewood chopper"	99910			
"rigger's labourer"	99910			
"bricklayers labourer"	99910			
"labourer at boiler factory"	99910			
"saw mills labourer"	99910			
"casual labourer"	99910			
"stoker's labourer"	99910			
"valve opener, gasworks"	99910			
"bone turner"	99910			
"plumber's labourer"	99910			
"road labourer"	99910			
"workman in woolwich arsenal"	99910			
"labourer at hair factory"	99910			
"workman in brewery"	99910			
"book folder"	99910			
"engine cleaner"	99910			
"ground workman"	99910			
"slater's labourer"	99910			
"chemist's labourer"	99910			
"labourer (deceased)"	99910			
"brickfield labourer"	99910			
"market garden labourer"	99910			
"potter's labourer"	99910			
"wharf labourer"	99910			
"labourer at saw mills"	99910			
"waterside labourer"	99910			
"engine fitters labourer"	99910			
"wine dealer's labourer"	99910			
"labourer at rope ground"	99910			
"labourer in brick fields"	99910			
"ship worker"	99910			
"glue maker's labourer"	99910			
"labourer at rag merchant's"	99910			
"sewer's labourer"	99910			
"labourer at ironworks"	99910			
"bricklayer's labourer (deceased)"	99910			
"soap maker's labourer"	99910			
"ship breaker's labourer"	99910			
"labourer at gasworks"	99910			
"labourer in iron yard"	99910			
"railway platelayer"	99910			
"dockyard lighter"	99910			
"smiths labourer"	99910			
"brickmaker's labourer"	99910			
"contractor's labourer"	99910			
"labourer royal arsenal"	99910			
"labourer on water"	99910			
"arsenal labourer"	99910			
"plasterer's labourer"	99910			
"crossing sweeper"	99910			
"omnibus washer"	99910			
"coppersmith's labourer"	99910			
"oilman's labourer"	99910			
"road scraper"	99910			
"bleacher's labourer"	99910			
"carpenter's labourer"	99910			
"tanyard labourer"	99910			
"chemical labourer"	99910			
"labourer (brick fields)"	99910			
"rope maker's labourer"	99910			
"builders labourer"	99910			
"lamp lighter"	99910			
"rag sorter"	99910			
"labourer h.m. dockyard"	99910			
"labourer at distillery"	99910			
"bricklayer's labourer"	99910			
"stonemason's labourer"	99910			
"iron founder's labourer"	99910			
"coalheaver"	99910			
"graver"	99910			
"stevedore's labourer"	99910			
"labourer in whitelead works"	99910			
"labourer in gasworks"	99910			
"labourer at a cement yard"	99910			
"cooper's labourer"	99910			
"collector of bones and rags"	99910			
"factory labourer"	99910			
"steam boiler maker's labourer"	99910			
"bookfolder"	99910			
"gaslighter"	99910			
"labourer in iron trade"	99910			
"glazier's labourer"	99910			
"dustyard labourer"	99910			
"shipyard labourer"	99910			
"labourer (iron works)"	99910			
"labourer in soap works"	99910			
"labourer in brewery"	99910			
"labourer at sugar house"	99910			
"labourer at iron works"	99910			
"stick dresser"	99910			
"lamplighter"	99910			
"labourer in ironworks"	99910			
"labourer in lead factory"	99910			
"dust sifter"	99910			
"rag picker"	99910			
"dustman"	99910			
"coalwhipper"	99910			
"coalbacker"	99910			
"army worker"	99910			
"general labourer"	99910			
"labourer (dust yard)"	99910			
"formerly a labourer"	99910			
"gas factory labourer"	99910			
"blacksmith's labourer"	99910			
"workman in royal arsenal"	99910			
"labourer at chemical works"	99910			
"brewery workman"	99930			
"wood grainer"	99999			
"writing master"	99999			
"sampler"	99999			
"gasworks, storer"	99999			
"map mounter"	99999			
"staircase hand"	99999			
"shell polisher"	99999			
"mender at hoisery warehouse"	99999			
"music smith"	99999			
"theatrical property maker"	99999			
"cupper"	99999			
"ship scraper"	99999			
"portmanteau maker"	99999			
"no occupation"	99999			
"colour moulder"	99999			
"kiln man"	99999			
"railway goods shipper"	99999			
